resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/18 8:00:08.00,EMPLOYEE,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/18 8:00:14.00,ADMINISTRATION,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/9/19 9:28:15.00,BUDGET OWNER,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/9/25 10:12:28.00,SUPERVISOR,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/9/27 7:24:33.00,DIRECTOR,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/30 16:55:42.00,EMPLOYEE,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/30 16:56:04.00,ADMINISTRATION,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/10/31 10:58:26.00,BUDGET OWNER,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/7 4:15:11.00,SUPERVISOR,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
SYSTEM,Request Payment,2018/11/9 8:23:25.00,UNDEFINED,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
SYSTEM,Payment Handled,2018/11/12 16:30:47.00,UNDEFINED,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/29 16:03:34.00,EMPLOYEE,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/29 16:03:57.00,ADMINISTRATION,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/1/29 16:06:11.00,EMPLOYEE,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/1/29 16:06:19.00,ADMINISTRATION,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/1/30 13:27:28.00,SUPERVISOR,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/1/31 14:43:26.00,SUPERVISOR,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
SYSTEM,Request Payment,2018/2/1 6:40:12.00,UNDEFINED,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
SYSTEM,Payment Handled,2018/2/5 16:31:03.00,UNDEFINED,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/22 10:12:06.00,EMPLOYEE,travel permit number 41142,task 11205,organizational unit 65461,294.0375398,task 427,budget 829,project 11202,project 503,request for payment 41143,organizational unit 65456,442.1617141,travel permit 41141,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/22 10:12:09.00,ADMINISTRATION,travel permit number 41142,task 11205,organizational unit 65461,294.0375398,task 427,budget 829,project 11202,project 503,request for payment 41143,organizational unit 65456,442.1617141,travel permit 41141,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/22 14:00:39.00,SUPERVISOR,travel permit number 41142,task 11205,organizational unit 65461,294.0375398,task 427,budget 829,project 11202,project 503,request for payment 41143,organizational unit 65456,442.1617141,travel permit 41141,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/8 19:52:37.00,EMPLOYEE,travel permit number 41142,task 11205,organizational unit 65461,294.0375398,task 427,budget 829,project 11202,project 503,request for payment 41143,organizational unit 65456,442.1617141,travel permit 41141,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by ADMINISTRATION,2018/4/8 19:53:20.00,ADMINISTRATION,travel permit number 41142,task 11205,organizational unit 65461,294.0375398,task 427,budget 829,project 11202,project 503,request for payment 41143,organizational unit 65456,442.1617141,travel permit 41141,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2018/4/9 13:24:40.00,EMPLOYEE,travel permit number 41142,task 11205,organizational unit 65461,294.0375398,task 427,budget 829,project 11202,project 503,request for payment 41143,organizational unit 65456,442.1617141,travel permit 41141,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/6 13:13:40.00,EMPLOYEE,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/6 13:15:02.00,ADMINISTRATION,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/12/10 7:11:52.00,SUPERVISOR,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/12/14 11:08:42.00,UNDEFINED,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/12/17 16:31:09.00,UNDEFINED,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/2/19 15:27:08.00,EMPLOYEE,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/2/19 15:27:19.00,ADMINISTRATION,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/2/20 12:02:48.00,SUPERVISOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/2/21 17:21:34.00,DIRECTOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/8 13:45:18.00,EMPLOYEE,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/8 13:45:31.00,ADMINISTRATION,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by SUPERVISOR,2018/3/8 13:53:43.00,SUPERVISOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by DIRECTOR,2018/3/8 15:26:07.00,DIRECTOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
SYSTEM,Request Payment,2018/3/12 9:51:33.00,UNDEFINED,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
SYSTEM,Payment Handled,2018/3/15 16:31:16.00,UNDEFINED,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/31 11:11:51.00,EMPLOYEE,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/31 11:11:57.00,ADMINISTRATION,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/7/31 11:19:54.00,BUDGET OWNER,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/7/31 16:21:07.00,SUPERVISOR,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/28 3:31:05.00,EMPLOYEE,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/11/28 3:31:36.00,ADMINISTRATION,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/11/28 13:58:31.00,BUDGET OWNER,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/29 13:27:40.00,SUPERVISOR,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
SYSTEM,Request Payment,2018/11/30 8:44:16.00,UNDEFINED,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
SYSTEM,Payment Handled,2018/12/3 16:31:24.00,UNDEFINED,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/5/16 8:17:41.00,EMPLOYEE,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/5/16 8:17:44.00,PRE_APPROVER,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/5/16 8:20:35.00,EMPLOYEE,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/5/16 8:20:50.00,PRE_APPROVER,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/5/16 15:04:15.00,SUPERVISOR,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/5/16 15:06:50.00,SUPERVISOR,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
SYSTEM,Request Payment,2017/5/17 8:15:01.00,UNDEFINED,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
SYSTEM,Payment Handled,2017/5/22 15:31:10.00,UNDEFINED,travel permit number 82611,task 82614,organizational unit 65463,1933.759352,task 427,budget 6198,project 79383,project 503,request for payment 82612,organizational unit 65455,2230.333417,travel permit 82610,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/9 10:16:19.00,EMPLOYEE,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/9 10:16:33.00,ADMINISTRATION,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/3/13 12:30:39.00,BUDGET OWNER,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/15 21:24:36.00,SUPERVISOR,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/19 14:13:34.00,EMPLOYEE,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/19 14:17:43.00,ADMINISTRATION,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/3/20 9:30:38.00,BUDGET OWNER,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/24 21:55:53.00,SUPERVISOR,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
SYSTEM,Request Payment,2018/3/26 7:37:50.00,UNDEFINED,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
SYSTEM,Payment Handled,2018/3/29 15:31:11.00,UNDEFINED,travel permit number 42784,task 33469,organizational unit 65461,1382.182184,task 427,budget 829,project 20418,project 503,request for payment 42785,organizational unit 65456,2051.784987,travel permit 42783,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/1/31 13:38:55.00,EMPLOYEE,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/1/31 13:40:27.00,PRE_APPROVER,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2017/2/1 14:52:50.00,SUPERVISOR,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/2/9 15:40:05.00,EMPLOYEE,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by PRE_APPROVER,2017/2/9 15:42:55.00,PRE_APPROVER,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,2017/2/13 14:29:48.00,EMPLOYEE,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/3/1 17:31:41.00,EMPLOYEE,travel permit number 76929,task 6280,organizational unit 65457,168.425927,UNKNOWN,budget 4164,UNKNOWN,project 503,request for payment 76936,organizational unit 65455,1511.51473,travel permit 76928,UNKNOWN
