resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/8/13 7:01:08.00,DIRECTOR,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/21 8:14:07.00,EMPLOYEE,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/21 8:29:57.00,ADMINISTRATION,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/21 8:47:04.00,SUPERVISOR,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
SYSTEM,Request Payment,2018/8/23 7:05:36.00,UNDEFINED,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
SYSTEM,Payment Handled,2018/8/27 15:31:18.00,UNDEFINED,travel permit number 59937,UNKNOWN,organizational unit 65461,612.5003533,UNKNOWN,budget 829,UNKNOWN,project 503,request for payment 59938,organizational unit 65456,6385.996431,travel permit 59936,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/9 10:23:03.00,EMPLOYEE,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/9 10:23:04.00,ADMINISTRATION,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/10 7:26:03.00,SUPERVISOR,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/5/28 17:32:10.00,EMPLOYEE,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/5/28 17:32:27.00,ADMINISTRATION,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/5/29 9:07:04.00,SUPERVISOR,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
SYSTEM,Request Payment,2018/5/31 8:54:04.00,UNDEFINED,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
SYSTEM,Payment Handled,2018/6/4 15:31:15.00,UNDEFINED,travel permit number 40813,UNKNOWN,organizational unit 65469,1006.908417,UNKNOWN,budget 864,UNKNOWN,project 503,request for payment 40816,organizational unit 65454,1623.91344,travel permit 40812,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/18 8:00:08.00,EMPLOYEE,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/18 8:00:14.00,ADMINISTRATION,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/9/19 9:28:15.00,BUDGET OWNER,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/9/25 10:12:28.00,SUPERVISOR,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/9/27 7:24:33.00,DIRECTOR,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/30 16:55:42.00,EMPLOYEE,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/30 16:56:04.00,ADMINISTRATION,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/10/31 10:58:26.00,BUDGET OWNER,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/7 4:15:11.00,SUPERVISOR,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
SYSTEM,Request Payment,2018/11/9 8:23:25.00,UNDEFINED,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
SYSTEM,Payment Handled,2018/11/12 16:30:47.00,UNDEFINED,travel permit number 28807,task 28811,organizational unit 65461,539.5614836,task 427,budget 829,project 28808,project 503,request for payment 28816,organizational unit 65456,3762.188268,travel permit 28806,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/31 13:57:52.00,EMPLOYEE,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/31 13:57:54.00,ADMINISTRATION,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/1/31 14:35:43.00,BUDGET OWNER,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/2/1 8:06:02.00,SUPERVISOR,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/9 11:06:03.00,EMPLOYEE,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/9 11:06:12.00,ADMINISTRATION,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/2/13 10:23:32.00,BUDGET OWNER,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/13 21:44:38.00,SUPERVISOR,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
SYSTEM,Request Payment,2018/2/14 9:24:41.00,UNDEFINED,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
SYSTEM,Payment Handled,2018/2/15 16:31:19.00,UNDEFINED,travel permit number 30818,task 30821,organizational unit 65461,2665.240395,task 427,budget 3832,project 18238,project 503,request for payment 30819,organizational unit 65456,2494.674292,travel permit 30817,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/29 16:03:34.00,EMPLOYEE,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/29 16:03:57.00,ADMINISTRATION,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/1/29 16:06:11.00,EMPLOYEE,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/1/29 16:06:19.00,ADMINISTRATION,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/1/30 13:27:28.00,SUPERVISOR,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/1/31 14:43:26.00,SUPERVISOR,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
SYSTEM,Request Payment,2018/2/1 6:40:12.00,UNDEFINED,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
SYSTEM,Payment Handled,2018/2/5 16:31:03.00,UNDEFINED,travel permit number 66463,task 55559,organizational unit 65458,729.072108,task 427,budget 698,project 55557,project 503,request for payment 66464,organizational unit 65458,860.8007,travel permit 66462,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/12/6 13:13:40.00,EMPLOYEE,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/12/6 13:15:02.00,ADMINISTRATION,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/12/10 7:11:52.00,SUPERVISOR,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/12/14 11:08:42.00,UNDEFINED,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/12/17 16:31:09.00,UNDEFINED,UNKNOWN,task 186162,organizational unit 65463,159.946408,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186160,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/8/21 8:01:09.00,EMPLOYEE,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/8/21 8:03:03.00,ADMINISTRATION,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/8/22 5:54:19.00,SUPERVISOR,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/4 7:27:45.00,EMPLOYEE,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/4 7:27:52.00,ADMINISTRATION,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/4 8:24:26.00,SUPERVISOR,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
SYSTEM,Request Payment,2018/10/4 13:37:25.00,UNDEFINED,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
SYSTEM,Payment Handled,2018/10/8 15:31:17.00,UNDEFINED,travel permit number 68545,UNKNOWN,organizational unit 65456,471.5354654,UNKNOWN,budget 673,UNKNOWN,project 503,request for payment 68546,organizational unit 65457,828.2931637,travel permit 68544,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/10/25 19:51:24.00,EMPLOYEE,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/10/25 19:56:21.00,ADMINISTRATION,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/10/31 10:38:30.00,BUDGET OWNER,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/1 10:56:59.00,EMPLOYEE,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/11/1 10:58:29.00,ADMINISTRATION,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/11/2 10:33:59.00,SUPERVISOR,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/11/6 14:12:18.00,BUDGET OWNER,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/11/8 13:10:30.00,SUPERVISOR,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
SYSTEM,Request Payment,2018/11/12 13:36:10.00,UNDEFINED,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
SYSTEM,Payment Handled,2018/11/15 16:31:20.00,UNDEFINED,travel permit number 58599,task 58602,organizational unit 65472,966.01477,task 427,budget 425,project 58600,project 503,request for payment 58603,organizational unit 65461,669.5151871,travel permit 58598,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/2/19 15:27:08.00,EMPLOYEE,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/2/19 15:27:19.00,ADMINISTRATION,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/2/20 12:02:48.00,SUPERVISOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/2/21 17:21:34.00,DIRECTOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/8 13:45:18.00,EMPLOYEE,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/8 13:45:31.00,ADMINISTRATION,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by SUPERVISOR,2018/3/8 13:53:43.00,SUPERVISOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by DIRECTOR,2018/3/8 15:26:07.00,DIRECTOR,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
SYSTEM,Request Payment,2018/3/12 9:51:33.00,UNDEFINED,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
SYSTEM,Payment Handled,2018/3/15 16:31:16.00,UNDEFINED,travel permit number 27036,task 27040,organizational unit 65458,1911.064343,task 427,budget 698,project 27037,project 503,request for payment 27038,organizational unit 65458,3041.263686,travel permit 27035,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/13 11:13:02.00,EMPLOYEE,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/13 11:13:03.00,ADMINISTRATION,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/9/19 8:58:41.00,SUPERVISOR,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/3 9:33:37.00,EMPLOYEE,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/10/3 9:34:02.00,ADMINISTRATION,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/10/3 11:58:27.00,SUPERVISOR,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
SYSTEM,Request Payment,2018/10/4 5:05:02.00,UNDEFINED,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
SYSTEM,Payment Handled,2018/10/8 15:31:17.00,UNDEFINED,travel permit number 59792,task 59795,organizational unit 65462,1780.091718,task 427,budget 962,project 23819,project 503,request for payment 59793,organizational unit 65459,3277.582951,travel permit 59791,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/31 11:11:51.00,EMPLOYEE,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/31 11:11:57.00,ADMINISTRATION,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/7/31 11:19:54.00,BUDGET OWNER,travel permit number 20330,task 10387,organizational unit 65469,650.3404704,task 427,budget 1755,project 10384,project 503,request for payment 20331,organizational unit 65454,4126.525828,travel permit 20329,UNKNOWN
