group,instance,resource,activity,timestamp,responsible,department,case,channel
Group 1,task-33703,Resource04,T10 Determine necessity to stop indication,2011/7/27 8:11:00,Resource04,General,8457,Internet
EMPTY,task-18774,Resource01,Confirmation of receipt,2011/4/21 9:02:53,Resource11,General,6804,Internet
Group 4,task-21749,Resource01,T02 Check confirmation of receipt,2011/4/21 9:03:08,Resource11,General,6804,Internet
Group 3,task-21751,Resource01,T04 Determine confirmation of receipt,2011/4/21 9:03:28,Resource11,General,6804,Internet
Group 2,task-21752,Resource01,T05 Print and send confirmation of receipt,2011/4/21 9:03:39,Resource11,General,6804,Internet
Group 1,task-21750,Resource01,T06 Determine necessity of stop advice,2011/4/21 9:03:51,Resource11,General,6804,Internet
Group 1,task-21753,Resource01,T10 Determine necessity to stop indication,2011/4/21 9:04:11,Resource11,General,6804,Internet
EMPTY,task-20668,Resource12,Confirmation of receipt,2011/5/2 10:46:29,Resource12,General,7016,Internet
Group 4,task-23112,Resource12,T02 Check confirmation of receipt,2011/5/2 11:34:33,Resource12,General,7016,Internet
Group 3,task-23145,Resource12,T04 Determine confirmation of receipt,2011/5/2 11:34:59,Resource12,General,7016,Internet
Group 2,task-23146,Resource12,T05 Print and send confirmation of receipt,2011/5/2 11:37:26,Resource12,General,7016,Internet
Group 1,task-23113,Resource12,T06 Determine necessity of stop advice,2011/5/2 11:45:24,Resource12,General,7016,Internet
Group 13,task-23159,Resource12,T07-1 Draft intern advice aspect 1,2011/5/2 11:46:25,Resource12,General,7016,Internet
Group 1,task-23158,Resource12,T08 Draft and send request for advice,2011/5/2 11:47:16,Resource12,General,7016,Internet
Group 1,task-23160,Resource12,T09-4 Process or receive external advice from party 4,2011/5/2 11:47:38,Resource12,General,7016,Internet
Group 1,task-23161,Resource12,T06 Determine necessity of stop advice,2011/5/2 11:48:15,Resource12,General,7016,Internet
Group 1,task-23162,Resource12,T10 Determine necessity to stop indication,2011/5/2 11:48:51,Resource12,General,7016,Internet
EMPTY,task-19274,admin2,Confirmation of receipt,2011/5/31 5:49:05,Resource01,General,6874,Internet
Group 1,task-28617,admin2,Confirmation of receipt,2011/6/15 6:43:42,Resource26,General,8047,Internet
Group 4,task-28677,TEST,T02 Check confirmation of receipt,2011/6/15 8:54:48,Resource26,General,8047,Internet
Group 1,task-28678,Resource26,T06 Determine necessity of stop advice,2011/6/15 9:51:35,Resource26,General,8047,Internet
Group 1,task-28704,Resource26,T10 Determine necessity to stop indication,2011/6/15 9:55:26,Resource26,General,8047,Internet
Group 3,task-28692,Resource26,T04 Determine confirmation of receipt,2011/6/15 18:55:28,Resource26,General,8047,Internet
Group 1,task-28725,Resource26,T03 Adjust confirmation of receipt,2011/6/15 18:55:48,Resource26,General,8047,Internet
Group 4,task-28726,Resource26,T02 Check confirmation of receipt,2011/6/15 18:59:51,Resource26,General,8047,Internet
EMPTY,task-5402,Resource15,Confirmation of receipt,2011/1/12 13:45:57,Resource15,General,4920,Post
Group 4,task-7937,Resource10,T02 Check confirmation of receipt,2011/1/13 10:15:13,Resource15,General,4920,Post
Group 3,task-8087,Resource10,T04 Determine confirmation of receipt,2011/1/13 10:15:33,Resource15,General,4920,Post
Group 2,task-8088,admin1,T05 Print and send confirmation of receipt,2011/1/18 8:40:49,Resource15,General,4920,Post
Group 1,task-7938,Resource15,T06 Determine necessity of stop advice,2011/1/24 7:59:58,Resource15,General,4920,Post
Group 1,task-9278,Resource15,T10 Determine necessity to stop indication,2011/1/24 8:00:21,Resource15,General,4920,Post
EMPTY,task-33951,Resource06,Confirmation of receipt,2011/8/4 6:39:45,Resource06,General,8840,Internet
Group 4,task-35186,Resource06,T02 Check confirmation of receipt,2011/8/4 6:40:05,Resource06,General,8840,Internet
Group 3,task-35188,Resource06,T04 Determine confirmation of receipt,2011/8/4 6:40:20,Resource06,General,8840,Internet
Group 2,task-35189,Resource06,T05 Print and send confirmation of receipt,2011/8/4 6:40:37,Resource06,General,8840,Internet
Group 1,task-35187,Resource06,T06 Determine necessity of stop advice,2011/8/4 6:41:54,Resource06,General,8840,Internet
Group 1,task-35191,Resource06,T10 Determine necessity to stop indication,2011/8/4 6:43:07,Resource06,General,8840,Internet
EMPTY,task-26161,Resource09,Confirmation of receipt,2011/7/4 10:08:41,Resource02,General,7685,Internet
Group 4,task-30773,Resource09,T02 Check confirmation of receipt,2011/7/4 10:09:49,Resource02,General,7685,Internet
Group 3,task-30775,Resource09,T04 Determine confirmation of receipt,2011/7/4 10:10:23,Resource02,General,7685,Internet
Group 2,task-30776,Resource09,T05 Print and send confirmation of receipt,2011/7/4 10:11:08,Resource02,General,7685,Internet
Group 1,task-30774,Resource09,T06 Determine necessity of stop advice,2011/7/4 11:55:34,Resource02,General,7685,Internet
Group 1,task-30791,Resource09,T10 Determine necessity to stop indication,2011/7/4 12:01:47,Resource02,General,7685,Internet
Group 1,task-30386,Resource27,Confirmation of receipt,2011/6/30 9:31:45,Resource14,General,8342,Internet
Group 4,task-30392,Resource14,T02 Check confirmation of receipt,2011/7/7 8:57:28,Resource14,General,8342,Internet
Group 3,task-31267,Resource14,T04 Determine confirmation of receipt,2011/7/7 8:57:47,Resource14,General,8342,Internet
Group 2,task-31268,Resource14,T05 Print and send confirmation of receipt,2011/7/7 8:58:04,Resource14,General,8342,Internet
Group 1,task-30393,Resource14,T06 Determine necessity of stop advice,2011/7/7 8:58:51,Resource14,General,8342,Internet
Group 1,task-31269,Resource14,T10 Determine necessity to stop indication,2011/7/7 8:59:11,Resource14,General,8342,Internet
EMPTY,task-42311,Resource02,Confirmation of receipt,2011/10/31 13:52:30,Resource02,General,9955,Internet
Group 4,task-45227,Resource02,T02 Check confirmation of receipt,2011/10/31 13:52:54,Resource02,General,9955,Internet
Group 3,task-45229,Resource02,T04 Determine confirmation of receipt,2011/10/31 13:53:19,Resource02,General,9955,Internet
Group 2,task-45231,Resource02,T05 Print and send confirmation of receipt,2011/10/31 13:53:51,Resource02,General,9955,Internet
Group 1,task-45228,Resource02,T06 Determine necessity of stop advice,2011/11/23 7:38:58,Resource02,General,9955,Internet
Group 1,task-47695,Resource02,T10 Determine necessity to stop indication,2011/11/23 12:57:38,Resource02,General,9955,Internet
EMPTY,task-9890,Resource05,Confirmation of receipt,2011/2/3 9:59:56,Resource05,General,5558,Internet
Group 4,task-10782,Resource05,T02 Check confirmation of receipt,2011/2/3 10:00:14,Resource05,General,5558,Internet
Group 3,task-10784,Resource21,T04 Determine confirmation of receipt,2011/2/3 10:04:02,Resource05,General,5558,Internet
Group 2,task-10788,Resource21,T05 Print and send confirmation of receipt,2011/2/3 10:05:05,Resource05,General,5558,Internet
Group 1,task-10783,Resource05,T06 Determine necessity of stop advice,2011/2/3 10:08:45,Resource05,General,5558,Internet
Group 1,task-10791,Resource05,T10 Determine necessity to stop indication,2011/2/3 10:11:58,Resource05,General,5558,Internet
EMPTY,task-3386,Resource07,Confirmation of receipt,2010/12/10 15:52:37,Resource07,General,4683,Internet
Group 1,task-3724,Resource07,T06 Determine necessity of stop advice,2010/12/10 15:52:53,Resource07,General,4683,Internet
Group 1,task-3725,Resource07,T10 Determine necessity to stop indication,2010/12/10 15:53:12,Resource07,General,4683,Internet
EMPTY,task-3723,Resource19,T02 Check confirmation of receipt,2010/12/13 9:50:02,Resource07,General,4683,Internet
Group 3,task-3820,Resource26,T04 Determine confirmation of receipt,2010/12/13 14:43:21,Resource07,General,4683,Internet
Group 2,task-4024,Resource07,T05 Print and send confirmation of receipt,2010/12/13 15:35:32,Resource07,General,4683,Internet
EMPTY,task-13141,Resource08,Confirmation of receipt,2011/3/1 9:50:42,Resource08,General,6078,Desk
EMPTY,task-14694,Resource08,T02 Check confirmation of receipt,2011/3/1 9:51:49,Resource08,General,6078,Desk
EMPTY,task-14696,admin3,T04 Determine confirmation of receipt,2011/3/2 7:58:26,Resource08,General,6078,Desk
Group 2,task-14856,admin1,T05 Print and send confirmation of receipt,2011/3/2 13:23:33,Resource08,General,6078,Desk
Group 1,task-14695,Resource08,T06 Determine necessity of stop advice,2011/3/15 14:35:07,Resource08,General,6078,Desk
Group 1,task-16216,Resource08,T10 Determine necessity to stop indication,2011/3/15 14:35:25,Resource08,General,6078,Desk
EMPTY,task-1156,Resource11,Confirmation of receipt,2010/11/30 11:05:24,Resource11,General,4249,Internet
Group 1,task-2396,Resource11,T06 Determine necessity of stop advice,2010/11/30 11:18:29,Resource11,General,4249,Internet
EMPTY,task-2395,Resource11,T02 Check confirmation of receipt,2010/11/30 11:19:15,Resource11,General,4249,Internet
Group 1,task-2400,Resource11,T10 Determine necessity to stop indication,2010/11/30 11:19:49,Resource11,General,4249,Internet
Group 3,task-2401,Resource11,T04 Determine confirmation of receipt,2010/11/30 11:20:31,Resource11,General,4249,Internet
Group 2,task-2405,Resource11,T05 Print and send confirmation of receipt,2010/11/30 11:20:46,Resource11,General,4249,Internet
EMPTY,task-49000,Resource09,Confirmation of receipt,2011/12/23 13:36:26,Resource09,General,10675,Internet
Group 1,task-50760,Resource09,T06 Determine necessity of stop advice,2011/12/23 13:38:24,Resource09,General,10675,Internet
Group 1,task-50761,Resource09,T10 Determine necessity to stop indication,2011/12/23 13:39:08,Resource09,General,10675,Internet
EMPTY,task-2509,Resource02,Confirmation of receipt,2010/12/6 12:55:45,Resource02,General,4599,Internet
Group 4,task-2987,Resource02,T02 Check confirmation of receipt,2010/12/6 12:55:59,Resource02,General,4599,Internet
Group 3,task-2989,Resource10,T04 Determine confirmation of receipt,2010/12/7 7:17:59,Resource02,General,4599,Internet
Group 2,task-3021,admin1,T05 Print and send confirmation of receipt,2010/12/7 7:32:45,Resource02,General,4599,Internet
Group 1,task-2988,admin2,T06 Determine necessity of stop advice,2011/1/10 14:10:37,Resource02,General,4599,Internet
Group 1,task-508,Resource08,Confirmation of receipt,2010/11/5 7:58:23,Resource08,Experts,4081,Internet
EMPTY,task-1011,Resource24,T02 Check confirmation of receipt,2010/11/5 8:39:30,Resource08,Experts,4081,Internet
Group 1,task-1023,Resource08,T03 Adjust confirmation of receipt,2010/11/5 10:22:11,Resource08,Experts,4081,Internet
EMPTY,task-1032,Resource24,T02 Check confirmation of receipt,2010/11/9 14:45:27,Resource08,Experts,4081,Internet
Group 3,task-1297,Resource10,T04 Determine confirmation of receipt,2010/11/12 14:02:27,Resource08,Experts,4081,Internet
Group 2,task-1443,admin1,T05 Print and send confirmation of receipt,2010/11/16 9:29:07,Resource08,Experts,4081,Internet
Group 1,task-1012,Resource08,T06 Determine necessity of stop advice,2010/11/18 11:24:29,Resource08,Experts,4081,Internet
Group 1,task-1644,Resource08,T10 Determine necessity to stop indication,2010/11/18 11:24:43,Resource08,Experts,4081,Internet
EMPTY,task-49100,Resource06,Confirmation of receipt,2011/12/13 11:09:29,Resource06,General,10757,Internet
Group 4,task-49762,Resource06,T02 Check confirmation of receipt,2011/12/13 14:18:52,Resource06,General,10757,Internet
Group 3,task-49805,Resource06,T04 Determine confirmation of receipt,2011/12/13 14:19:42,Resource06,General,10757,Internet
Group 2,task-49806,Resource06,T05 Print and send confirmation of receipt,2011/12/13 14:20:27,Resource06,General,10757,Internet
Group 1,task-49763,Resource06,T06 Determine necessity of stop advice,2011/12/13 14:28:47,Resource06,General,10757,Internet
Group 1,task-49812,Resource06,T10 Determine necessity to stop indication,2011/12/13 14:29:30,Resource06,General,10757,Internet
EMPTY,task-13784,Resource15,Confirmation of receipt,2011/2/23 11:45:31,Resource15,General,6145,Internet
Group 1,task-13859,Resource15,T06 Determine necessity of stop advice,2011/2/23 11:51:58,Resource15,General,6145,Internet
Group 1,task-13860,Resource15,T10 Determine necessity to stop indication,2011/2/28 9:47:25,Resource15,General,6145,Internet
Group 4,task-13858,Resource10,T02 Check confirmation of receipt,2011/2/28 10:53:01,Resource15,General,6145,Internet
Group 3,task-14426,Resource10,T04 Determine confirmation of receipt,2011/2/28 10:53:15,Resource15,General,6145,Internet
Group 2,task-14427,admin1,T05 Print and send confirmation of receipt,2011/3/1 9:13:08,Resource15,General,6145,Internet
EMPTY,task-26178,Resource01,Confirmation of receipt,2011/5/26 13:18:56,Resource11,General,7686,Internet
Group 4,task-26581,Resource01,T02 Check confirmation of receipt,2011/5/26 13:19:11,Resource11,General,7686,Internet
Group 3,task-26583,Resource01,T04 Determine confirmation of receipt,2011/5/26 13:19:24,Resource11,General,7686,Internet
Group 2,task-26584,Resource01,T05 Print and send confirmation of receipt,2011/5/26 13:19:44,Resource11,General,7686,Internet
Group 1,task-26582,Resource01,T06 Determine necessity of stop advice,2011/6/28 11:18:34,Resource11,General,7686,Internet
Group 1,task-30158,Resource01,T10 Determine necessity to stop indication,2011/6/28 11:19:29,Resource11,General,7686,Internet
Group 1,task-308,Resource12,Confirmation of receipt,2010/10/22 7:57:24,Resource12,General,3989,Internet
Group 4,task-382,Resource12,T02 Check confirmation of receipt,2010/10/22 7:57:46,Resource12,General,3989,Internet
Group 3,task-384,Resource12,T04 Determine confirmation of receipt,2010/10/22 7:58:13,Resource12,General,3989,Internet
Group 2,task-385,Resource12,T05 Print and send confirmation of receipt,2010/10/22 7:58:35,Resource12,General,3989,Internet
Group 1,task-383,Resource12,T06 Determine necessity of stop advice,2010/10/22 7:59:05,Resource12,General,3989,Internet
Group 1,task-386,Resource12,T10 Determine necessity to stop indication,2010/10/22 7:59:37,Resource12,General,3989,Internet
EMPTY,task-43868,Resource22,Confirmation of receipt,2011/11/29 13:28:09,Resource22,General,10073,Internet
Group 4,task-48486,Resource22,T02 Check confirmation of receipt,2011/11/29 13:40:03,Resource22,General,10073,Internet
Group 3,task-48490,Resource22,T04 Determine confirmation of receipt,2011/11/29 13:40:32,Resource22,General,10073,Internet
Group 2,task-48491,Resource22,T05 Print and send confirmation of receipt,2011/11/29 13:41:12,Resource22,General,10073,Internet
Group 1,task-48487,Resource22,T06 Determine necessity of stop advice,2011/11/29 13:42:10,Resource22,General,10073,Internet
Group 13,task-48493,Resource22,T07-1 Draft intern advice aspect 1,2011/11/30 9:53:50,Resource22,General,10073,Internet
Group 1,task-48492,Resource22,T08 Draft and send request for advice,2011/11/30 9:54:47,Resource22,General,10073,Internet
Group 1,task-48562,Resource22,T09-1 Process or receive external advice from party 1,2011/11/30 10:02:34,Resource22,General,10073,Internet
Group 1,task-48563,Resource22,T06 Determine necessity of stop advice,2011/11/30 10:04:28,Resource22,General,10073,Internet
Group 1,task-48564,Resource22,T10 Determine necessity to stop indication,2011/11/30 10:05:13,Resource22,General,10073,Internet
EMPTY,task-36508,Resource30,Confirmation of receipt,2011/9/5 7:20:23,Resource35,General,9088,Internet
Group 1,task-37967,admin2,T06 Determine necessity of stop advice,2011/9/5 8:52:53,Resource35,General,9088,Internet
Group 4,task-37966,admin2,T02 Check confirmation of receipt,2011/9/5 8:52:54,Resource35,General,9088,Internet
Group 1,task-28902,Resource07,Confirmation of receipt,2011/7/5 8:08:44,Resource11,General,8135,Internet
Group 4,task-30933,Resource07,T02 Check confirmation of receipt,2011/7/5 8:24:29,Resource11,General,8135,Internet
Group 3,task-30937,Resource07,T04 Determine confirmation of receipt,2011/7/5 8:25:35,Resource11,General,8135,Internet
Group 2,task-30938,Resource07,T05 Print and send confirmation of receipt,2011/7/5 8:26:28,Resource11,General,8135,Internet
Group 1,task-30934,Resource07,T06 Determine necessity of stop advice,2011/7/5 8:27:08,Resource11,General,8135,Internet
Group 1,task-30939,Resource07,T10 Determine necessity to stop indication,2011/7/5 8:27:41,Resource11,General,8135,Internet
EMPTY,task-9738,Resource08,Confirmation of receipt,2011/2/10 12:13:09,Resource08,General,5536,Internet
Group 4,task-11750,Resource08,T02 Check confirmation of receipt,2011/2/10 12:13:25,Resource08,General,5536,Internet
Group 1,task-11751,Resource08,T06 Determine necessity of stop advice,2011/2/10 12:14:55,Resource08,General,5536,Internet
Group 1,task-11756,Resource08,T10 Determine necessity to stop indication,2011/2/10 12:15:12,Resource08,General,5536,Internet
EMPTY,task-11752,Resource10,T04 Determine confirmation of receipt,2011/2/11 7:49:05,Resource08,General,5536,Internet
Group 2,task-11841,admin1,T05 Print and send confirmation of receipt,2011/2/11 8:12:14,Resource08,General,5536,Internet
EMPTY,task-34930,Resource04,Confirmation of receipt,2011/8/9 10:38:24,Resource04,General,8921,Internet
Group 4,task-35933,Resource04,T02 Check confirmation of receipt,2011/8/9 10:38:53,Resource04,General,8921,Internet
Group 3,task-35936,Resource04,T04 Determine confirmation of receipt,2011/8/9 10:39:17,Resource04,General,8921,Internet
Group 2,task-35937,Resource04,T05 Print and send confirmation of receipt,2011/8/9 10:39:36,Resource04,General,8921,Internet
Group 1,task-35934,Resource04,T06 Determine necessity of stop advice,2011/8/9 10:39:51,Resource04,General,8921,Internet
Group 1,task-35939,Resource04,T10 Determine necessity to stop indication,2011/8/9 10:40:10,Resource04,General,8921,Internet
Group 1,task-35940,Resource04,T11 Create document X request unlicensed,2011/8/9 12:31:12,Resource04,General,8921,Internet
Group 4,task-35959,Resource04,T12 Check document X request unlicensed,2011/8/9 12:31:33,Resource04,General,8921,Internet
Group 3,task-35960,Resource04,T14 Determine document X request unlicensed,2011/8/9 12:32:01,Resource04,General,8921,Internet
Group 2,task-35961,Resource04,T15 Print document X request unlicensed,2011/8/9 12:32:23,Resource04,General,8921,Internet
EMPTY,task-30641,Resource29,Confirmation of receipt,2011/7/5 13:40:37,Resource29,General,8367,Internet
Group 1,task-31114,Resource29,T06 Determine necessity of stop advice,2011/7/5 13:41:41,Resource29,General,8367,Internet
Group 1,task-31115,Resource29,T10 Determine necessity to stop indication,2011/7/5 13:42:14,Resource29,General,8367,Internet
EMPTY,task-31113,Resource29,T02 Check confirmation of receipt,2011/7/5 14:01:23,Resource29,General,8367,Internet
EMPTY,task-31126,Resource29,T04 Determine confirmation of receipt,2011/7/5 14:02:37,Resource29,General,8367,Internet
Group 2,task-31127,admin1,T05 Print and send confirmation of receipt,2011/7/15 14:12:52,Resource29,General,8367,Internet
Group 1,task-32296,Resource27,Confirmation of receipt,2011/7/18 8:56:56,Resource11,General,8639,Internet
Group 4,task-32297,Resource01,T02 Check confirmation of receipt,2011/7/21 13:19:43,Resource11,General,8639,Internet
Group 3,task-33138,Resource01,T04 Determine confirmation of receipt,2011/7/21 13:20:41,Resource11,General,8639,Internet
Group 2,task-33139,Resource01,T05 Print and send confirmation of receipt,2011/7/21 13:21:07,Resource11,General,8639,Internet
Group 1,task-32298,Resource01,T06 Determine necessity of stop advice,2011/7/21 13:21:28,Resource11,General,8639,Internet
Group 1,task-33140,Resource01,T10 Determine necessity to stop indication,2011/7/21 13:21:47,Resource11,General,8639,Internet
EMPTY,task-22021,Resource05,Confirmation of receipt,2011/5/9 13:09:07,Resource05,General,7175,Internet
Group 1,task-24013,Resource05,T06 Determine necessity of stop advice,2011/5/9 13:09:24,Resource05,General,7175,Internet
Group 1,task-24014,Resource05,T10 Determine necessity to stop indication,2011/5/9 13:10:41,Resource05,General,7175,Internet
Group 4,task-24012,Resource05,T02 Check confirmation of receipt,2011/5/9 13:10:54,Resource05,General,7175,Internet
Group 3,task-24016,Resource05,T04 Determine confirmation of receipt,2011/5/9 13:11:09,Resource05,General,7175,Internet
Group 2,task-24017,Resource05,T05 Print and send confirmation of receipt,2011/5/9 13:11:22,Resource05,General,7175,Internet
EMPTY,task-38632,Resource13,Confirmation of receipt,2011/9/21 7:42:20,Resource13,General,9487,Desk
EMPTY,task-39671,Resource13,T02 Check confirmation of receipt,2011/9/21 7:42:58,Resource13,General,9487,Desk
EMPTY,task-39673,Resource13,T04 Determine confirmation of receipt,2011/9/21 7:43:29,Resource13,General,9487,Desk
EMPTY,task-39674,Resource13,T05 Print and send confirmation of receipt,2011/9/21 7:43:56,Resource13,General,9487,Desk
Group 1,task-39672,Resource13,T06 Determine necessity of stop advice,2011/9/21 7:44:18,Resource13,General,9487,Desk
Group 1,task-39675,Resource13,T10 Determine necessity to stop indication,2011/9/21 7:44:37,Resource13,General,9487,Desk
EMPTY,task-20623,Resource08,Confirmation of receipt,2011/4/20 8:02:58,Resource08,General,6999,Internet
EMPTY,task-21302,Resource08,T02 Check confirmation of receipt,2011/4/20 8:07:43,Resource08,General,6999,Internet
EMPTY,task-21313,Resource08,T04 Determine confirmation of receipt,2011/4/20 8:08:24,Resource08,General,6999,Internet
EMPTY,task-21314,Resource08,T05 Print and send confirmation of receipt,2011/4/20 8:09:30,Resource08,General,6999,Internet
Group 1,task-21303,Resource08,T06 Determine necessity of stop advice,2011/4/20 8:13:46,Resource08,General,6999,Internet
Group 1,task-21323,Resource08,T10 Determine necessity to stop indication,2011/4/20 8:15:01,Resource08,General,6999,Internet
EMPTY,task-17897,Resource18,Confirmation of receipt,2011/4/7 9:09:40,Resource18,General,6682,Internet
Group 1,task-19498,Resource18,T06 Determine necessity of stop advice,2011/4/7 9:14:40,Resource18,General,6682,Internet
EMPTY,task-19497,Resource18,T02 Check confirmation of receipt,2011/4/7 9:14:52,Resource18,General,6682,Internet
EMPTY,task-19501,Resource18,T04 Determine confirmation of receipt,2011/4/7 9:15:34,Resource18,General,6682,Internet
Group 2,task-19502,Resource18,T05 Print and send confirmation of receipt,2011/4/7 9:15:51,Resource18,General,6682,Internet
Group 1,task-19500,Resource18,T10 Determine necessity to stop indication,2011/4/7 10:06:16,Resource18,General,6682,Internet
EMPTY,task-5995,Resource14,Confirmation of receipt,2011/1/11 10:04:09,Resource14,General,4995,Desk
Group 1,task-7609,Resource14,T06 Determine necessity of stop advice,2011/1/11 10:06:50,Resource14,General,4995,Desk
Group 1,task-7610,Resource14,T10 Determine necessity to stop indication,2011/1/11 10:07:05,Resource14,General,4995,Desk
Group 4,task-7608,Resource10,T02 Check confirmation of receipt,2011/1/11 11:16:04,Resource14,General,4995,Desk
Group 3,task-7666,Resource10,T04 Determine confirmation of receipt,2011/1/11 11:16:14,Resource14,General,4995,Desk
Group 2,task-7667,admin1,T05 Print and send confirmation of receipt,2011/1/11 12:59:22,Resource14,General,4995,Desk
EMPTY,task-51224,Resource13,Confirmation of receipt,2012/1/18 14:46:14,Resource13,General,11115,Internet
Group 1,task-53208,Resource13,T06 Determine necessity of stop advice,2012/1/18 14:46:48,Resource13,General,11115,Internet
EMPTY,task-53207,Resource13,T02 Check confirmation of receipt,2012/1/18 14:47:30,Resource13,General,11115,Internet
EMPTY,task-53210,Resource13,T04 Determine confirmation of receipt,2012/1/18 14:48:13,Resource13,General,11115,Internet
Group 1,task-53209,Resource13,T10 Determine necessity to stop indication,2012/1/18 14:48:49,Resource13,General,11115,Internet
EMPTY,task-53211,Resource13,T05 Print and send confirmation of receipt,2012/1/18 14:49:35,Resource13,General,11115,Internet
EMPTY,task-9550,admin2,Confirmation of receipt,2011/1/28 14:46:54,Resource18,General,5484,Desk
EMPTY,task-15232,Resource15,Confirmation of receipt,2011/3/10 7:56:43,Resource02,General,6297,Desk
Group 1,task-15687,Resource15,T06 Determine necessity of stop advice,2011/3/10 7:57:35,Resource02,General,6297,Desk
Group 1,task-15688,Resource15,T10 Determine necessity to stop indication,2011/3/10 7:58:06,Resource02,General,6297,Desk
EMPTY,task-15686,Resource18,T02 Check confirmation of receipt,2011/3/14 11:39:42,Resource02,General,6297,Desk
EMPTY,task-16074,Resource18,T04 Determine confirmation of receipt,2011/3/14 11:41:16,Resource02,General,6297,Desk
Group 2,task-16075,admin1,T05 Print and send confirmation of receipt,2011/3/15 11:19:36,Resource02,General,6297,Desk
EMPTY,task-48544,Resource21,Confirmation of receipt,2012/1/18 9:04:47,Resource21,General,10636,Internet
Group 4,task-53056,Resource21,T02 Check confirmation of receipt,2012/1/18 9:05:30,Resource21,General,10636,Internet
Group 3,task-53058,Resource21,T04 Determine confirmation of receipt,2012/1/18 9:06:07,Resource21,General,10636,Internet
Group 2,task-53059,Resource21,T05 Print and send confirmation of receipt,2012/1/18 9:06:51,Resource21,General,10636,Internet
Group 1,task-53057,Resource21,T06 Determine necessity of stop advice,2012/1/18 9:07:26,Resource21,General,10636,Internet
Group 1,task-53060,Resource21,T10 Determine necessity to stop indication,2012/1/18 9:08:02,Resource21,General,10636,Internet
EMPTY,task-602,Resource07,Confirmation of receipt,2010/11/25 15:15:12,Resource06,General,4146,Internet
Group 1,task-2063,Resource07,T06 Determine necessity of stop advice,2010/11/25 15:15:43,Resource06,General,4146,Internet
Group 1,task-2064,Resource07,T10 Determine necessity to stop indication,2010/11/25 15:16:30,Resource06,General,4146,Internet
EMPTY,task-2062,Resource11,T02 Check confirmation of receipt,2010/11/30 8:09:54,Resource06,General,4146,Internet
EMPTY,task-2323,Resource11,T04 Determine confirmation of receipt,2010/11/30 8:10:50,Resource06,General,4146,Internet
Group 2,task-2324,Resource11,T05 Print and send confirmation of receipt,2010/11/30 8:11:12,Resource06,General,4146,Internet
EMPTY,task-41339,Resource09,Confirmation of receipt,2011/11/24 13:05:19,Resource09,General,9883,Internet
Group 4,task-47857,Resource09,T02 Check confirmation of receipt,2011/11/24 13:05:55,Resource09,General,9883,Internet
Group 3,task-47859,Resource09,T04 Determine confirmation of receipt,2011/11/24 13:07:06,Resource09,General,9883,Internet
Group 2,task-47861,Resource09,T05 Print and send confirmation of receipt,2011/11/24 13:07:33,Resource09,General,9883,Internet
Group 1,task-47858,Resource09,T06 Determine necessity of stop advice,2011/11/24 13:08:11,Resource09,General,9883,Internet
