group,instance,resource,activity,timestamp,responsible,department,case,channel
Group 4,task-30392,Resource14,T02 Check confirmation of receipt,2011/7/7 8:57:28,Resource14,General,8342,Internet
Group 3,task-31267,Resource14,T04 Determine confirmation of receipt,2011/7/7 8:57:47,Resource14,General,8342,Internet
Group 2,task-31268,Resource14,T05 Print and send confirmation of receipt,2011/7/7 8:58:04,Resource14,General,8342,Internet
Group 1,task-30393,Resource14,T06 Determine necessity of stop advice,2011/7/7 8:58:51,Resource14,General,8342,Internet
Group 1,task-31269,Resource14,T10 Determine necessity to stop indication,2011/7/7 8:59:11,Resource14,General,8342,Internet
EMPTY,task-44868,Resource03,Confirmation of receipt,2011/11/7 14:41:35,Resource11,General,10198,Internet
Group 1,task-45627,Resource03,T06 Determine necessity of stop advice,2011/11/7 14:42:01,Resource11,General,10198,Internet
Group 4,task-45626,Resource03,T02 Check confirmation of receipt,2011/11/7 14:42:26,Resource11,General,10198,Internet
Group 3,task-45631,Resource03,T04 Determine confirmation of receipt,2011/11/7 14:42:53,Resource11,General,10198,Internet
Group 2,task-45632,Resource03,T05 Print and send confirmation of receipt,2011/11/7 14:43:10,Resource11,General,10198,Internet
Group 1,task-45630,Resource03,T10 Determine necessity to stop indication,2011/11/7 14:43:33,Resource11,General,10198,Internet
EMPTY,task-3386,Resource07,Confirmation of receipt,2010/12/10 15:52:37,Resource07,General,4683,Internet
Group 1,task-3724,Resource07,T06 Determine necessity of stop advice,2010/12/10 15:52:53,Resource07,General,4683,Internet
Group 1,task-3725,Resource07,T10 Determine necessity to stop indication,2010/12/10 15:53:12,Resource07,General,4683,Internet
EMPTY,task-3723,Resource19,T02 Check confirmation of receipt,2010/12/13 9:50:02,Resource07,General,4683,Internet
Group 3,task-3820,Resource26,T04 Determine confirmation of receipt,2010/12/13 14:43:21,Resource07,General,4683,Internet
Group 2,task-4024,Resource07,T05 Print and send confirmation of receipt,2010/12/13 15:35:32,Resource07,General,4683,Internet
Group 1,task-8365,Resource09,Confirmation of receipt,2011/1/17 12:58:21,Resource09,General,5311,Desk
Group 1,task-8643,Resource09,T06 Determine necessity of stop advice,2011/1/17 12:59:31,Resource09,General,5311,Desk
Group 1,task-8648,Resource09,T10 Determine necessity to stop indication,2011/1/17 13:00:14,Resource09,General,5311,Desk
Group 4,task-8642,Resource10,T02 Check confirmation of receipt,2011/1/19 14:06:31,Resource09,General,5311,Desk
Group 3,task-8976,Resource10,T04 Determine confirmation of receipt,2011/1/19 14:09:37,Resource09,General,5311,Desk
Group 2,task-8989,admin1,T05 Print and send confirmation of receipt,2011/1/24 10:29:18,Resource09,General,5311,Desk
EMPTY,task-10059,Resource09,Confirmation of receipt,2011/3/8 8:54:58,Resource09,General,5595,Internet
Group 1,task-15447,Resource09,T06 Determine necessity of stop advice,2011/3/8 8:56:18,Resource09,General,5595,Internet
Group 1,task-15449,Resource09,T08 Draft and send request for advice,2011/3/8 8:57:11,Resource09,General,5595,Internet
Group 13,task-15450,Resource09,T07-1 Draft intern advice aspect 1,2011/3/8 9:03:23,Resource09,General,5595,Internet
Group 15,task-15451,Resource09,T07-2 Draft intern advice aspect 2,2011/3/8 9:03:44,Resource09,General,5595,Internet
Group 1,task-15452,Resource09,T09-1 Process or receive external advice from party 1,2011/3/8 9:04:03,Resource09,General,5595,Internet
Group 1,task-15454,Resource09,T06 Determine necessity of stop advice,2011/3/8 9:04:18,Resource09,General,5595,Internet
Group 1,task-15455,Resource09,T10 Determine necessity to stop indication,2011/3/8 9:04:37,Resource09,General,5595,Internet
EMPTY,task-15446,Resource24,T02 Check confirmation of receipt,2011/3/24 9:32:54,Resource09,General,5595,Internet
Group 1,task-17533,Resource09,T03 Adjust confirmation of receipt,2011/4/18 12:29:18,Resource09,General,5595,Internet
Group 4,task-20833,Resource09,T02 Check confirmation of receipt,2011/4/18 12:29:37,Resource09,General,5595,Internet
Group 3,task-20834,Resource09,T04 Determine confirmation of receipt,2011/4/18 12:29:50,Resource09,General,5595,Internet
Group 2,task-20835,Resource09,T05 Print and send confirmation of receipt,2011/4/18 12:30:02,Resource09,General,5595,Internet
EMPTY,task-564,Resource11,Confirmation of receipt,2010/11/25 14:19:59,Resource34,General,4117,Internet
Group 1,task-2053,Resource11,T06 Determine necessity of stop advice,2010/11/25 14:24:57,Resource34,General,4117,Internet
Group 1,task-2054,Resource11,T10 Determine necessity to stop indication,2010/11/25 14:31:09,Resource34,General,4117,Internet
EMPTY,task-2052,Resource19,T02 Check confirmation of receipt,2010/11/26 8:29:44,Resource34,General,4117,Internet
Group 1,task-2119,Resource11,T03 Adjust confirmation of receipt,2010/11/29 7:04:52,Resource34,General,4117,Internet
EMPTY,task-2202,Resource11,T02 Check confirmation of receipt,2010/11/30 6:53:14,Resource34,General,4117,Internet
EMPTY,task-2278,Resource11,T04 Determine confirmation of receipt,2010/12/9 12:38:52,Resource34,General,4117,Internet
Group 2,task-3486,Resource34,T05 Print and send confirmation of receipt,2010/12/10 8:11:24,Resource34,General,4117,Internet
EMPTY,task-10058,Resource08,Confirmation of receipt,2011/2/8 14:30:55,Resource08,General,5594,Desk
Group 4,task-11421,Resource10,T02 Check confirmation of receipt,2011/2/9 6:56:46,Resource08,General,5594,Desk
Group 3,task-11439,Resource10,T04 Determine confirmation of receipt,2011/2/9 6:57:03,Resource08,General,5594,Desk
Group 2,task-11440,admin1,T05 Print and send confirmation of receipt,2011/2/9 11:10:44,Resource08,General,5594,Desk
Group 1,task-11422,Resource08,T06 Determine necessity of stop advice,2011/2/14 13:32:30,Resource08,General,5594,Desk
Group 1,task-12218,Resource08,T10 Determine necessity to stop indication,2011/2/14 13:35:51,Resource08,General,5594,Desk
EMPTY,task-2143,Resource08,Confirmation of receipt,2010/12/7 13:57:17,Resource08,General,4555,Internet
Group 4,task-3144,Resource08,T02 Check confirmation of receipt,2010/12/7 13:57:33,Resource08,General,4555,Internet
Group 1,task-3145,Resource08,T06 Determine necessity of stop advice,2010/12/7 13:57:50,Resource08,General,4555,Internet
Group 1,task-3147,Resource08,T10 Determine necessity to stop indication,2010/12/7 13:58:22,Resource08,General,4555,Internet
Group 3,task-3146,Resource10,T04 Determine confirmation of receipt,2010/12/7 16:27:37,Resource08,General,4555,Internet
Group 2,task-3181,admin1,T05 Print and send confirmation of receipt,2010/12/8 8:40:16,Resource08,General,4555,Internet
EMPTY,task-1156,Resource11,Confirmation of receipt,2010/11/30 11:05:24,Resource11,General,4249,Internet
Group 1,task-2396,Resource11,T06 Determine necessity of stop advice,2010/11/30 11:18:29,Resource11,General,4249,Internet
EMPTY,task-2395,Resource11,T02 Check confirmation of receipt,2010/11/30 11:19:15,Resource11,General,4249,Internet
Group 1,task-2400,Resource11,T10 Determine necessity to stop indication,2010/11/30 11:19:49,Resource11,General,4249,Internet
Group 3,task-2401,Resource11,T04 Determine confirmation of receipt,2010/11/30 11:20:31,Resource11,General,4249,Internet
Group 2,task-2405,Resource11,T05 Print and send confirmation of receipt,2010/11/30 11:20:46,Resource11,General,4249,Internet
EMPTY,task-46826,Resource02,Confirmation of receipt,2012/1/9 10:31:42,Resource02,General,10483,Internet
Group 4,task-51617,Resource02,T02 Check confirmation of receipt,2012/1/9 10:32:16,Resource02,General,10483,Internet
Group 3,task-51619,Resource02,T04 Determine confirmation of receipt,2012/1/9 10:32:52,Resource02,General,10483,Internet
Group 2,task-51620,Resource02,T05 Print and send confirmation of receipt,2012/1/9 10:33:18,Resource02,General,10483,Internet
Group 1,task-16589,admin2,Confirmation of receipt,2011/3/18 9:02:32,admin3,Customer contact,6503,Desk
EMPTY,task-52267,Resource05,Confirmation of receipt,2012/1/23 14:39:28,Resource05,General,11458,Internet
Group 4,task-53486,Resource05,T02 Check confirmation of receipt,2012/1/23 14:40:01,Resource05,General,11458,Internet
Group 3,task-53488,Resource05,T04 Determine confirmation of receipt,2012/1/23 14:40:43,Resource05,General,11458,Internet
Group 2,task-53490,Resource05,T05 Print and send confirmation of receipt,2012/1/23 14:41:12,Resource05,General,11458,Internet
Group 1,task-53487,Resource05,T06 Determine necessity of stop advice,2012/1/23 14:42:10,Resource05,General,11458,Internet
Group 1,task-53491,Resource05,T10 Determine necessity to stop indication,2012/1/23 14:42:55,Resource05,General,11458,Internet
EMPTY,task-44278,Resource03,Confirmation of receipt,2011/11/7 14:24:56,Resource03,General,10146,Internet
Group 4,task-45622,Resource03,T02 Check confirmation of receipt,2011/11/7 14:25:46,Resource03,General,10146,Internet
EMPTY,task-45624,Resource03,T04 Determine confirmation of receipt,2011/11/16 11:05:43,Resource03,General,10146,Internet
Group 2,task-46832,Resource03,T05 Print and send confirmation of receipt,2011/11/16 11:06:16,Resource03,General,10146,Internet
Group 1,task-45623,Resource03,T06 Determine necessity of stop advice,2011/11/16 11:06:32,Resource03,General,10146,Internet
Group 1,task-46833,Resource03,T10 Determine necessity to stop indication,2011/11/16 11:07:02,Resource03,General,10146,Internet
EMPTY,task-49000,Resource09,Confirmation of receipt,2011/12/23 13:36:26,Resource09,General,10675,Internet
Group 1,task-50760,Resource09,T06 Determine necessity of stop advice,2011/12/23 13:38:24,Resource09,General,10675,Internet
Group 1,task-50761,Resource09,T10 Determine necessity to stop indication,2011/12/23 13:39:08,Resource09,General,10675,Internet
Group 1,task-508,Resource08,Confirmation of receipt,2010/11/5 7:58:23,Resource08,Experts,4081,Internet
EMPTY,task-1011,Resource24,T02 Check confirmation of receipt,2010/11/5 8:39:30,Resource08,Experts,4081,Internet
Group 1,task-1023,Resource08,T03 Adjust confirmation of receipt,2010/11/5 10:22:11,Resource08,Experts,4081,Internet
EMPTY,task-1032,Resource24,T02 Check confirmation of receipt,2010/11/9 14:45:27,Resource08,Experts,4081,Internet
Group 3,task-1297,Resource10,T04 Determine confirmation of receipt,2010/11/12 14:02:27,Resource08,Experts,4081,Internet
Group 2,task-1443,admin1,T05 Print and send confirmation of receipt,2010/11/16 9:29:07,Resource08,Experts,4081,Internet
Group 1,task-1012,Resource08,T06 Determine necessity of stop advice,2010/11/18 11:24:29,Resource08,Experts,4081,Internet
Group 1,task-1644,Resource08,T10 Determine necessity to stop indication,2010/11/18 11:24:43,Resource08,Experts,4081,Internet
EMPTY,task-1591,Resource11,Confirmation of receipt,2010/12/13 11:03:27,Resource11,General,4410,Internet
Group 4,task-3864,Resource11,T02 Check confirmation of receipt,2010/12/13 11:03:51,Resource11,General,4410,Internet
Group 3,task-3866,Resource11,T04 Determine confirmation of receipt,2010/12/13 11:04:12,Resource11,General,4410,Internet
EMPTY,task-3867,Resource11,T05 Print and send confirmation of receipt,2010/12/13 11:04:50,Resource11,General,4410,Internet
Group 1,task-3865,Resource11,T06 Determine necessity of stop advice,2010/12/13 11:05:04,Resource11,General,4410,Internet
Group 1,task-3868,Resource11,T10 Determine necessity to stop indication,2010/12/13 11:05:25,Resource11,General,4410,Internet
EMPTY,task-49100,Resource06,Confirmation of receipt,2011/12/13 11:09:29,Resource06,General,10757,Internet
Group 4,task-49762,Resource06,T02 Check confirmation of receipt,2011/12/13 14:18:52,Resource06,General,10757,Internet
Group 3,task-49805,Resource06,T04 Determine confirmation of receipt,2011/12/13 14:19:42,Resource06,General,10757,Internet
Group 2,task-49806,Resource06,T05 Print and send confirmation of receipt,2011/12/13 14:20:27,Resource06,General,10757,Internet
Group 1,task-49763,Resource06,T06 Determine necessity of stop advice,2011/12/13 14:28:47,Resource06,General,10757,Internet
Group 1,task-49812,Resource06,T10 Determine necessity to stop indication,2011/12/13 14:29:30,Resource06,General,10757,Internet
EMPTY,task-13784,Resource15,Confirmation of receipt,2011/2/23 11:45:31,Resource15,General,6145,Internet
Group 1,task-13859,Resource15,T06 Determine necessity of stop advice,2011/2/23 11:51:58,Resource15,General,6145,Internet
Group 1,task-13860,Resource15,T10 Determine necessity to stop indication,2011/2/28 9:47:25,Resource15,General,6145,Internet
Group 4,task-13858,Resource10,T02 Check confirmation of receipt,2011/2/28 10:53:01,Resource15,General,6145,Internet
Group 3,task-14426,Resource10,T04 Determine confirmation of receipt,2011/2/28 10:53:15,Resource15,General,6145,Internet
Group 2,task-14427,admin1,T05 Print and send confirmation of receipt,2011/3/1 9:13:08,Resource15,General,6145,Internet
EMPTY,task-26178,Resource01,Confirmation of receipt,2011/5/26 13:18:56,Resource11,General,7686,Internet
Group 4,task-26581,Resource01,T02 Check confirmation of receipt,2011/5/26 13:19:11,Resource11,General,7686,Internet
Group 3,task-26583,Resource01,T04 Determine confirmation of receipt,2011/5/26 13:19:24,Resource11,General,7686,Internet
Group 2,task-26584,Resource01,T05 Print and send confirmation of receipt,2011/5/26 13:19:44,Resource11,General,7686,Internet
Group 1,task-26582,Resource01,T06 Determine necessity of stop advice,2011/6/28 11:18:34,Resource11,General,7686,Internet
Group 1,task-30158,Resource01,T10 Determine necessity to stop indication,2011/6/28 11:19:29,Resource11,General,7686,Internet
EMPTY,task-36508,Resource30,Confirmation of receipt,2011/9/5 7:20:23,Resource35,General,9088,Internet
Group 1,task-37967,admin2,T06 Determine necessity of stop advice,2011/9/5 8:52:53,Resource35,General,9088,Internet
Group 4,task-37966,admin2,T02 Check confirmation of receipt,2011/9/5 8:52:54,Resource35,General,9088,Internet
EMPTY,task-9738,Resource08,Confirmation of receipt,2011/2/10 12:13:09,Resource08,General,5536,Internet
Group 4,task-11750,Resource08,T02 Check confirmation of receipt,2011/2/10 12:13:25,Resource08,General,5536,Internet
Group 1,task-11751,Resource08,T06 Determine necessity of stop advice,2011/2/10 12:14:55,Resource08,General,5536,Internet
Group 1,task-11756,Resource08,T10 Determine necessity to stop indication,2011/2/10 12:15:12,Resource08,General,5536,Internet
EMPTY,task-11752,Resource10,T04 Determine confirmation of receipt,2011/2/11 7:49:05,Resource08,General,5536,Internet
Group 2,task-11841,admin1,T05 Print and send confirmation of receipt,2011/2/11 8:12:14,Resource08,General,5536,Internet
EMPTY,task-37994,Resource01,Confirmation of receipt,2011/9/8 8:45:42,Resource11,General,9368,Internet
Group 4,task-38328,Resource01,T02 Check confirmation of receipt,2011/9/8 8:46:10,Resource11,General,9368,Internet
Group 3,task-38330,Resource01,T04 Determine confirmation of receipt,2011/9/8 8:46:46,Resource11,General,9368,Internet
Group 2,task-38331,Resource01,T05 Print and send confirmation of receipt,2011/9/8 8:47:05,Resource11,General,9368,Internet
Group 1,task-38329,Resource01,T06 Determine necessity of stop advice,2011/9/8 8:47:23,Resource11,General,9368,Internet
Group 1,task-38332,Resource01,T10 Determine necessity to stop indication,2011/9/8 8:47:44,Resource11,General,9368,Internet
EMPTY,task-6334,Resource07,Confirmation of receipt,2011/1/4 15:37:29,Resource07,General,5037,Internet
EMPTY,task-6735,Resource19,T02 Check confirmation of receipt,2011/1/5 10:09:05,Resource07,General,5037,Internet
Group 3,task-6821,Resource10,T04 Determine confirmation of receipt,2011/1/5 11:38:05,Resource07,General,5037,Internet
Group 2,task-6864,Resource07,T05 Print and send confirmation of receipt,2011/1/6 11:29:37,Resource07,General,5037,Internet
Group 1,task-6736,Resource07,T06 Determine necessity of stop advice,2011/1/6 11:30:02,Resource07,General,5037,Internet
Group 1,task-7067,Resource07,T10 Determine necessity to stop indication,2011/1/6 11:33:51,Resource07,General,5037,Internet
EMPTY,task-25816,Resource15,Confirmation of receipt,2011/6/6 10:13:35,Resource02,General,7628,Internet
Group 4,task-27785,Resource15,T02 Check confirmation of receipt,2011/6/6 10:13:52,Resource02,General,7628,Internet
Group 3,task-27787,Resource15,T04 Determine confirmation of receipt,2011/6/6 10:14:23,Resource02,General,7628,Internet
Group 1,task-27786,Resource15,T06 Determine necessity of stop advice,2011/6/6 10:15:48,Resource02,General,7628,Internet
Group 1,task-27789,Resource15,T10 Determine necessity to stop indication,2011/6/6 12:34:54,Resource02,General,7628,Internet
Group 2,task-27788,admin1,T05 Print and send confirmation of receipt,2011/6/16 12:55:31,Resource02,General,7628,Internet
EMPTY,task-41497,admin2,Confirmation of receipt,2011/10/24 13:28:41,Resource35,General,9896,Internet
EMPTY,task-34097,Resource09,Confirmation of receipt,2011/8/2 13:36:38,Resource24,General,8854,Internet
Group 4,task-34949,Resource09,T02 Check confirmation of receipt,2011/8/2 13:38:12,Resource24,General,8854,Internet
Group 3,task-34951,Resource09,T04 Determine confirmation of receipt,2011/8/2 13:38:39,Resource24,General,8854,Internet
Group 2,task-34952,Resource09,T05 Print and send confirmation of receipt,2011/8/2 13:39:04,Resource24,General,8854,Internet
Group 1,task-34950,Resource09,T06 Determine necessity of stop advice,2011/8/2 13:39:28,Resource24,General,8854,Internet
Group 1,task-34953,Resource09,T10 Determine necessity to stop indication,2011/8/2 13:40:09,Resource24,General,8854,Internet
EMPTY,task-33967,Resource01,Confirmation of receipt,2011/8/11 6:53:05,Resource11,General,8841,Internet
Group 4,task-36175,Resource01,T02 Check confirmation of receipt,2011/8/11 6:53:24,Resource11,General,8841,Internet
Group 3,task-36177,Resource01,T04 Determine confirmation of receipt,2011/8/11 6:53:40,Resource11,General,8841,Internet
Group 2,task-36178,Resource01,T05 Print and send confirmation of receipt,2011/8/11 6:53:59,Resource11,General,8841,Internet
Group 1,task-36176,Resource01,T06 Determine necessity of stop advice,2011/8/11 6:54:40,Resource11,General,8841,Internet
Group 1,task-36179,Resource01,T10 Determine necessity to stop indication,2011/8/11 6:55:03,Resource11,General,8841,Internet
EMPTY,task-10432,Resource01,Confirmation of receipt,2011/2/11 8:30:01,Resource01,General,5686,Internet
Group 4,task-11861,Resource01,T02 Check confirmation of receipt,2011/2/11 8:30:21,Resource01,General,5686,Internet
Group 3,task-11863,Resource01,T04 Determine confirmation of receipt,2011/2/11 8:31:56,Resource01,General,5686,Internet
Group 2,task-11864,Resource01,T05 Print and send confirmation of receipt,2011/2/11 8:32:10,Resource01,General,5686,Internet
Group 1,task-11862,Resource01,T06 Determine necessity of stop advice,2011/2/11 8:33:28,Resource01,General,5686,Internet
Group 1,task-11865,Resource01,T10 Determine necessity to stop indication,2011/2/11 8:33:54,Resource01,General,5686,Internet
EMPTY,task-15232,Resource15,Confirmation of receipt,2011/3/10 7:56:43,Resource02,General,6297,Desk
Group 1,task-15687,Resource15,T06 Determine necessity of stop advice,2011/3/10 7:57:35,Resource02,General,6297,Desk
Group 1,task-15688,Resource15,T10 Determine necessity to stop indication,2011/3/10 7:58:06,Resource02,General,6297,Desk
EMPTY,task-15686,Resource18,T02 Check confirmation of receipt,2011/3/14 11:39:42,Resource02,General,6297,Desk
EMPTY,task-16074,Resource18,T04 Determine confirmation of receipt,2011/3/14 11:41:16,Resource02,General,6297,Desk
Group 2,task-16075,admin1,T05 Print and send confirmation of receipt,2011/3/15 11:19:36,Resource02,General,6297,Desk
EMPTY,task-48544,Resource21,Confirmation of receipt,2012/1/18 9:04:47,Resource21,General,10636,Internet
Group 4,task-53056,Resource21,T02 Check confirmation of receipt,2012/1/18 9:05:30,Resource21,General,10636,Internet
Group 3,task-53058,Resource21,T04 Determine confirmation of receipt,2012/1/18 9:06:07,Resource21,General,10636,Internet
Group 2,task-53059,Resource21,T05 Print and send confirmation of receipt,2012/1/18 9:06:51,Resource21,General,10636,Internet
Group 1,task-53057,Resource21,T06 Determine necessity of stop advice,2012/1/18 9:07:26,Resource21,General,10636,Internet
Group 1,task-53060,Resource21,T10 Determine necessity to stop indication,2012/1/18 9:08:02,Resource21,General,10636,Internet
EMPTY,task-602,Resource07,Confirmation of receipt,2010/11/25 15:15:12,Resource06,General,4146,Internet
Group 1,task-2063,Resource07,T06 Determine necessity of stop advice,2010/11/25 15:15:43,Resource06,General,4146,Internet
Group 1,task-2064,Resource07,T10 Determine necessity to stop indication,2010/11/25 15:16:30,Resource06,General,4146,Internet
EMPTY,task-2062,Resource11,T02 Check confirmation of receipt,2010/11/30 8:09:54,Resource06,General,4146,Internet
EMPTY,task-2323,Resource11,T04 Determine confirmation of receipt,2010/11/30 8:10:50,Resource06,General,4146,Internet
Group 2,task-2324,Resource11,T05 Print and send confirmation of receipt,2010/11/30 8:11:12,Resource06,General,4146,Internet
EMPTY,task-41339,Resource09,Confirmation of receipt,2011/11/24 13:05:19,Resource09,General,9883,Internet
Group 4,task-47857,Resource09,T02 Check confirmation of receipt,2011/11/24 13:05:55,Resource09,General,9883,Internet
Group 3,task-47859,Resource09,T04 Determine confirmation of receipt,2011/11/24 13:07:06,Resource09,General,9883,Internet
Group 2,task-47861,Resource09,T05 Print and send confirmation of receipt,2011/11/24 13:07:33,Resource09,General,9883,Internet
Group 1,task-47858,Resource09,T06 Determine necessity of stop advice,2011/11/24 13:08:11,Resource09,General,9883,Internet
Group 1,task-47862,Resource09,T10 Determine necessity to stop indication,2011/11/24 13:08:58,Resource09,General,9883,Internet
Group 1,task-25291,Resource05,Confirmation of receipt,2011/5/23 9:58:36,Resource05,General,7566,Internet
Group 4,task-26023,Resource05,T02 Check confirmation of receipt,2011/5/23 10:19:03,Resource05,General,7566,Internet
Group 3,task-26030,Resource05,T04 Determine confirmation of receipt,2011/5/23 10:19:22,Resource05,General,7566,Internet
Group 2,task-26031,Resource05,T05 Print and send confirmation of receipt,2011/5/23 10:23:44,Resource05,General,7566,Internet
Group 1,task-26024,Resource05,T06 Determine necessity of stop advice,2011/5/23 10:24:04,Resource05,General,7566,Internet
Group 1,task-26035,Resource05,T10 Determine necessity to stop indication,2011/5/23 10:24:27,Resource05,General,7566,Internet
EMPTY,task-47712,admin2,Confirmation of receipt,2011/12/9 9:15:05,Resource04,General,10571,Internet
EMPTY,task-25729,Resource09,Confirmation of receipt,2011/6/7 12:21:40,Resource09,General,7612,Internet
Group 1,task-28170,Resource09,T06 Determine necessity of stop advice,2011/6/7 12:22:18,Resource09,General,7612,Internet
Group 1,task-28171,Resource09,T10 Determine necessity to stop indication,2011/6/7 12:25:17,Resource09,General,7612,Internet
Group 4,task-28169,Resource09,T02 Check confirmation of receipt,2011/6/7 12:33:37,Resource09,General,7612,Internet
Group 3,task-28188,Resource09,T04 Determine confirmation of receipt,2011/6/7 12:33:59,Resource09,General,7612,Internet
Group 2,task-28189,Resource09,T05 Print and send confirmation of receipt,2011/6/7 12:34:12,Resource09,General,7612,Internet
Group 1,task-28172,Resource09,T16 Report reasons to hold request,2011/6/7 12:35:39,Resource09,General,7612,Internet
Group 4,task-28191,Resource09,T17 Check report Y to stop indication,2011/6/7 12:35:58,Resource09,General,7612,Internet
Group 3,task-28193,Resource09,T19 Determine report Y to stop indication,2011/6/7 12:36:16,Resource09,General,7612,Internet
Group 2,task-28195,Resource09,T20 Print report Y to stop indication,2011/6/7 12:36:33,Resource09,General,7612,Internet
Group 1,task-33176,Resource27,Confirmation of receipt,2011/7/22 7:15:20,Resource14,General,8743,Internet
EMPTY,task-33177,Resource14,T02 Check confirmation of receipt,2011/8/17 11:48:11,Resource14,General,8743,Internet
EMPTY,task-36640,Resource14,T04 Determine confirmation of receipt,2011/9/5 8:55:43,Resource14,General,8743,Internet
Group 2,task-38002,Resource14,T05 Print and send confirmation of receipt,2011/9/5 8:56:07,Resource14,General,8743,Internet
Group 1,task-33178,Resource14,T06 Determine necessity of stop advice,2011/9/5 8:56:27,Resource14,General,8743,Internet
Group 1,task-38003,Resource14,T10 Determine necessity to stop indication,2011/9/5 8:56:49,Resource14,General,8743,Internet
EMPTY,task-20606,Resource07,Confirmation of receipt,2011/5/2 6:59:03,Resource01,General,6997,Internet
Group 4,task-22874,Resource07,T02 Check confirmation of receipt,2011/5/2 6:59:19,Resource01,General,6997,Internet
Group 1,task-22875,Resource07,T06 Determine necessity of stop advice,2011/5/2 6:59:35,Resource01,General,6997,Internet
Group 3,task-22876,Resource07,T04 Determine confirmation of receipt,2011/5/2 6:59:50,Resource01,General,6997,Internet
Group 2,task-22878,Resource07,T05 Print and send confirmation of receipt,2011/5/2 7:00:03,Resource01,General,6997,Internet
Group 1,task-22877,Resource01,T10 Determine necessity to stop indication,2011/5/12 10:02:54,Resource01,General,6997,Internet
EMPTY,task-9894,Resource06,Confirmation of receipt,2011/2/16 13:10:34,Resource06,General,5559,Internet
Group 1,task-12569,Resource06,T06 Determine necessity of stop advice,2011/2/16 13:10:56,Resource06,General,5559,Internet
